"AVGMZ","MINMZ","MAXMZ","RT","MINRT","MAXRT","SUMINTENSITY","MAXINTENSITY","MEASUREMENTID","GROUPID","GROUPSETSINDEX"
136.061861938336,136.061706542969,136.061981201172,162.18244934082,147.665069580078,172.049118041992,2611731269,76083880,1,1,1
137.065092360141,137.06494140625,137.065231323242,162.18244934082,146.7978515625,173.788925170898,139105504.59375,4160273.75,1,2,1
116.070701617393,116.070503234863,116.070816040039,308.299865722656,295.104248046875,322.800109863281,1341396422.42773,61656528,1,3,1
212.09509660304,212.094818115234,212.095275878906,299.047546386719,283.368896484375,315.746459960938,1826789984,39583544,1,4,1
118.0863153909,118.086143493652,118.086433410645,299.047546386719,292.90087890625,306.569519042969,189840570.5625,11780442,1,5,1
213.098316680416,213.098068237305,213.098495483398,299.047546386719,291.136871337891,307.438232421875,77657356.75,2840606.5,1,6,1
214.090721067353,214.090454101562,214.090911865234,299.047546386719,291.573516845703,307.438232421875,42191506.75,1718637.375,1,7,1
119.089610364744,119.089485168457,119.089736938477,299.047546386719,293.337829589844,306.569519042969,7183296.01074219,505260.90625,1,8,1
73.0841874831867,73.0840454101562,73.0843048095703,299.047546386719,292.90087890625,306.142944335938,2610576.98339844,162253.28125,1,9,1
212.095089884384,212.094940185547,212.095458984375,380.781585693359,368.022827148438,394.394470214844,1194245387,32099952,1,10,1
213.098312840908,213.098159790039,213.098480224609,380.781585693359,371.128845214844,388.535186767578,65998973.3125,2444028.75,1,11,1
214.090732041716,214.090576171875,214.091125488281,380.781585693359,367.573852539062,394.825561523438,50736596.21875,1357225.375,1,12,1
268.103938543273,268.103637695312,268.104187011719,160.907913208008,157.088958740234,173.788925170898,763475203.5,29940626,1,13,1
298.096899775254,298.096466064453,298.097137451172,80.2291412353516,75.861686706543,86.8215026855469,354394004.044922,28667860,1,14,1
509.184755688989,509.183807373047,509.185272216797,80.2291412353516,76.7356796264648,88.1266479492188,51482730.8271484,3334888,1,15,1
299.100090718859,299.099884033203,299.100402832031,80.2291412353516,76.7356796264648,87.2525177001953,39999126.0029297,2995521.25,1,16,1
136.061822453323,136.061706542969,136.061950683594,80.2291412353516,75.861686706543,86.8215026855469,32977730.328125,2538333,1,17,1
300.092517831642,300.092315673828,300.092803955078,80.2291412353516,77.1824035644531,86.8215026855469,13582341.8115234,1193445.625,1,18,1
211.107723913527,211.107513427734,211.107971191406,80.2291412353516,76.3020858764648,85.1056747436523,4666410.74414062,621406.1875,1,19,1
178.097491369302,178.097366333008,178.097640991211,80.2291412353516,75.861686706543,85.5357284545898,4009398.33056641,466233.96875,1,20,1
511.180571292932,511.180145263672,511.181030273438,80.2291412353516,77.6190032958984,87.6877288818359,3805305.23242188,304344.375,1,21,1
360.018668525982,360.018493652344,360.01904296875,80.2291412353516,77.6190032958984,87.6877288818359,3844042.63671875,281052.65625,1,22,1
176.091875405164,176.091659545898,176.092056274414,258.495452880859,252.347091674805,266.32470703125,387171002.125,23111508,1,23,1
158.081256645133,158.081085205078,158.081390380859,258.495452880859,252.347091674805,265.896759033203,34124666.265625,2316569,1,24,1
112.075733393551,112.07559967041,112.075843811035,258.495452880859,252.347091674805,265.896759033203,22420246.75,1399551.125,1,25,1
130.086332262105,130.086181640625,130.086441040039,258.495452880859,252.347091674805,265.896759033203,17355255.59375,1114246.375,1,26,1
387.179812019519,387.179138183594,387.180358886719,258.495452880859,252.783569335938,266.32470703125,3552233.15234375,236926.59375,1,27,1
164.091764922025,164.091506958008,164.091995239258,258.495452880859,244.500076293945,270.233551025391,4845823.67773438,211630.203125,1,28,1
178.095970254763,178.095642089844,178.096328735352,258.495452880859,252.783569335938,264.588439941406,2182477.203125,140189.0625,1,29,1
112.050606937616,112.05052947998,112.050689697266,283.795471191406,274.264587402344,292.90087890625,563870829.25,22832166,1,30,1
487.178454854838,487.178039550781,487.178894042969,283.795471191406,275.132141113281,291.573516845703,482569417.125,22665026,1,31,1
488.181775835964,488.181335449219,488.182312011719,283.795471191406,275.132141113281,291.136871337891,89905239.8125,4608307,1,32,1
455.180857240277,455.180511474609,455.181243896484,283.795471191406,278.625579833984,287.241394042969,38053314.125,2220447.5,1,33,1
266.074638040186,266.074432373047,266.074859619141,283.795471191406,272.069885253906,295.993988037109,11147227.4013672,415555.90625,1,34,1
130.049979344745,130.049835205078,130.050231933594,395.274871826172,387.184173583984,402.771057128906,338796972.375,17852164,1,35,1
102.05502283251,102.054901123047,102.055206298828,395.274871826172,387.184173583984,401.879547119141,17207191.109375,1033011.8125,1,36,1
131.053251768865,131.053115844727,131.053497314453,395.274871826172,388.090087890625,402.326812744141,14968999.8359375,957464.1875,1,37,1
148.079705505622,148.079559326172,148.079986572266,395.274871826172,385.832733154297,406.292083740234,13522081.8183594,747153.25,1,38,1
147.076596523761,147.076385498047,147.076873779297,394.825561523438,386.732635498047,404.093505859375,310430824.4375,15811796,1,39,1
101.070989642384,101.070831298828,101.071182250977,394.825561523438,388.090087890625,402.771057128906,4474813.59960938,268432.4375,1,40,1
387.180582799226,387.180389404297,387.180877685547,51.7027893066406,44.9003295898438,58.9503517150879,268807859.4375,14645309,1,41,1
432.238346752816,432.238159179688,432.238616943359,51.7027893066406,44.9003295898438,59.3922462463379,211650717.875,10928586,1,42,1
404.207074971968,404.206878662109,404.207366943359,51.7027893066406,44.9003295898438,58.9503517150879,109905419.3125,5848063,1,43,1
388.183941712163,388.183776855469,388.184326171875,51.7027893066406,44.4642677307129,58.9503517150879,58603900.8046875,3329323.75,1,44,1
433.241717110705,433.241516113281,433.242126464844,51.7027893066406,44.9003295898438,59.8278274536133,53562741.046875,2822266,1,45,1
446.236974546433,446.236572265625,446.23779296875,51.7027893066406,45.3259620666504,61.9633941650391,8454083.7734375,449734.53125,1,46,1
434.244586049223,434.243835449219,434.245574951172,51.7027893066406,46.1797180175781,59.8278274536133,6853097.21875,436778.625,1,47,1
171.137935157132,171.137802124023,171.138290405273,51.7027893066406,45.7512817382812,58.9503517150879,4176446.6953125,265280.03125,1,48,1
276.261406939977,276.261108398438,276.26220703125,51.7027893066406,46.5953903198242,55.9624328613281,2354934.14257812,183239.96875,1,49,1
175.119097379393,175.119018554688,175.119232177734,691.903869628906,682.606079101562,700.336364746094,339637482.25,14642151,1,50,1
130.097552027748,130.097427368164,130.097671508789,691.903869628906,682.159790039062,702.115783691406,10648001.1953125,475356.5625,1,51,1
158.092469459746,158.092361450195,158.092620849609,691.903869628906,683.042114257812,700.336364746094,6622699.5625,306032.4375,1,52,1
120.08089314915,120.080795288086,120.080978393555,217.174468994141,207.15055847168,226.470245361328,369921694.875,14442142,1,53,1
166.086328542768,166.086212158203,166.086441040039,217.174468994141,207.15055847168,226.470245361328,334665534.75,12960888,1,54,1
118.06521739435,118.065063476562,118.065322875977,217.174468994141,206.70231628418,226.921096801758,35264760.9921875,1430636.125,1,55,1
121.084174061775,121.084060668945,121.084274291992,217.174468994141,207.584243774414,226.032318115234,28046657.609375,1148318.25,1,56,1
780.553662663605,780.553161621094,780.554443359375,47.4359397888184,42.3083572387695,55.9624328613281,253221228.78125,14255369,1,57,1
778.538443051814,778.537841796875,778.53955078125,47.4359397888184,42.3083572387695,55.9624328613281,191271589.195312,11363750,1,58,1
502.37427938253,502.373931884766,502.374664306641,47.4359397888184,42.3083572387695,54.6819915771484,43585470.9082031,3472977.25,1,59,1
526.431768651827,526.43115234375,526.432006835938,47.4359397888184,42.736499786377,54.2557411193848,37087674.8046875,2800372.75,1,60,1
458.348003256004,458.347564697266,458.348449707031,47.4359397888184,42.736499786377,54.2557411193848,33480530.6054688,2393903.5,1,61,1
424.36366014728,424.363342285156,424.363922119141,47.4359397888184,42.736499786377,55.5323181152344,36077764.6679688,2322395.75,1,62,1
380.337407282174,380.336669921875,380.337646484375,47.4359397888184,42.736499786377,55.5323181152344,35203019.4863281,2263221,1,63,1
377.326498837017,377.326202392578,377.326751708984,47.4359397888184,43.1721076965332,55.1068077087402,22159420.8847656,1387271.25,1,64,1
600.468617325338,600.46728515625,600.469055175781,47.4359397888184,42.736499786377,53.8160591125488,16391640.1464844,1316648.125,1,65,1
635.456384740266,635.455505371094,635.456726074219,47.4359397888184,42.736499786377,54.2557411193848,16534466.578125,1248636.25,1,66,1
547.403977470875,547.403381347656,547.404357910156,47.4359397888184,43.1721076965332,53.3896408081055,14527405.8710938,1246563.625,1,67,1
810.557600533482,810.556396484375,810.558166503906,47.4359397888184,42.3083572387695,52.9639205932617,14817292.0585938,1166936.75,1,68,1
363.310702392773,363.310363769531,363.311004638672,47.4359397888184,43.1721076965332,55.5323181152344,17522249.2851562,1135509.125,1,69,1
503.37767213792,503.377258300781,503.378082275391,47.4359397888184,42.736499786377,53.8160591125488,12435285.046875,1037217.875,1,70,1
395.356402527987,395.355926513672,395.356658935547,47.4359397888184,43.1721076965332,55.1068077087402,12776043.4277344,942524.625,1,71,1
303.289428371855,303.289001464844,303.289672851562,47.4359397888184,43.6089134216309,57.2414894104004,9893363.92773438,581807.5625,1,72,1
732.547793652994,732.546569824219,732.552124023438,47.4359397888184,42.736499786377,53.8160591125488,7183397.08398438,553551.75,1,73,1
381.340830848075,381.34033203125,381.341217041016,47.4359397888184,44.4642677307129,55.1068077087402,6925850.66015625,507575.28125,1,74,1
425.366976506612,425.366455078125,425.367431640625,47.4359397888184,44.4642677307129,55.5323181152344,7687879.703125,488572.90625,1,75,1
753.525963530489,753.525146484375,753.528991699219,47.4359397888184,42.736499786377,58.5234489440918,6863940.10742188,394952.8125,1,76,1
392.373754185707,392.373077392578,392.374145507812,47.4359397888184,42.736499786377,53.3896408081055,3154897.89648438,334738.8125,1,77,1
391.34217252859,391.341735839844,391.342956542969,47.4359397888184,44.0383033752441,55.1068077087402,5062739.890625,331903.25,1,78,1
300.700550850294,300.699951171875,300.701141357422,47.4359397888184,43.1721076965332,53.3896408081055,3309969.40136719,311861.53125,1,79,1
422.384473973013,422.383270263672,422.384857177734,47.4359397888184,44.4642677307129,55.1068077087402,4042085.66015625,311062.8125,1,80,1
765.526191487443,765.524536132812,765.527587890625,47.4359397888184,41.0165061950684,55.5323181152344,4558120.27929688,286048.71875,1,81,1
880.114099804807,880.111999511719,880.115783691406,47.4359397888184,44.0383033752441,52.1220588684082,2803606.0546875,270144.625,1,82,1
599.390918087253,599.390014648438,599.39208984375,47.4359397888184,44.0383033752441,60.2574234008789,2437863.05078125,265919.125,1,83,1
364.314087281457,364.313598632812,364.314514160156,47.4359397888184,45.7512817382812,56.3886947631836,3428373.28710938,262038.65625,1,84,1
397.295231797348,397.294830322266,397.296081542969,47.4359397888184,44.4642677307129,55.9624328613281,3413871.82226562,261331.0625,1,85,1
365.345886191694,365.345275878906,365.346282958984,47.4359397888184,44.9003295898438,55.9624328613281,3617958.1015625,253516.125,1,86,1
385.775668969336,385.774627685547,385.776702880859,47.4359397888184,43.6089134216309,55.5323181152344,3117408.23242188,251743.421875,1,87,1
466.410545508315,466.410064697266,466.411407470703,47.4359397888184,45.7512817382812,52.5366744995117,1874460.4375,243173.921875,1,88,1
820.599544398741,820.597839355469,820.600952148438,47.4359397888184,43.1721076965332,55.1068077087402,3334364.08203125,241996.03125,1,89,1
548.393866987559,548.392944335938,548.395141601562,47.4359397888184,44.9003295898438,52.5366744995117,1639607.73046875,219282.484375,1,90,1
516.390076107001,516.38916015625,516.390686035156,47.4359397888184,43.6089134216309,52.5366744995117,2310396.33203125,215223.109375,1,91,1
348.347487163099,348.346954345703,348.347808837891,47.4359397888184,43.6089134216309,52.9639205932617,1907446.59765625,207559.1875,1,92,1
777.576797142245,777.575317382812,777.577819824219,47.4359397888184,44.0383033752441,52.9639205932617,1831759.85546875,193192.796875,1,93,1
148.060553497486,148.060409545898,148.060821533203,394.394470214844,386.732635498047,401.879547119141,250931253.4375,13686158,1,94,1
149.063815891239,149.063674926758,149.064117431641,394.394470214844,387.184173583984,401.879547119141,10240692.953125,654933.375,1,95,1
193.143512766833,193.143341064453,193.143630981445,59.8278274536133,54.2557411193848,65.8133773803711,167482428.765625,13049753,1,96,1
215.12536570552,215.124969482422,215.125518798828,59.8278274536133,54.6819915771484,65.8133773803711,17561923.0664062,1561947.25,1,97,1
238.201286116425,238.201034545898,238.201416015625,59.8278274536133,54.6819915771484,65.3876647949219,16388437.4726562,1435702.625,1,98,1
194.146821100279,194.146682739258,194.146942138672,59.8278274536133,54.2557411193848,65.8133773803711,14208489.0996094,1170022.375,1,99,1
175.132907864871,175.132675170898,175.132995605469,59.8278274536133,54.2557411193848,65.8133773803711,8240046.66796875,617373.5,1,100,1
389.257780738216,389.257354736328,389.25830078125,59.8278274536133,54.6819915771484,67.1200408935547,6340333.4765625,407152.25,1,101,1
239.204625729419,239.204513549805,239.205200195312,59.8278274536133,56.3886947631836,63.2420463562012,1586353.06640625,175366.125,1,102,1
176.971347716922,176.971145629883,176.971588134766,527.998718261719,507.512176513672,565.294799804688,909286272.34375,10601894,1,103,1
352.935300964865,352.934967041016,352.935699462891,527.998718261719,512.888244628906,561.274780273438,406348962.977539,5894710,1,104,1
704.863250671528,704.862487792969,704.864135742188,527.998718261719,515.11376953125,559.064697265625,23273373.3769531,360353.1875,1,105,1
70.0652215578256,70.0650177001953,70.0652847290039,308.72412109375,296.867858886719,322.800109863281,208293843.294922,10163861,1,106,1
152.056771701819,152.056625366211,152.056884765625,318.392456054688,310.535522460938,326.316314697266,190002429.6875,10123926,1,107,1
284.098848289197,284.098571777344,284.09912109375,318.392456054688,309.652923583984,327.215057373047,102003167.125,5490140,1,108,1
495.186876176635,495.186401367188,495.187286376953,318.392456054688,310.092468261719,327.661224365234,13440459.0507812,772999.4375,1,109,1
567.190644230403,567.189392089844,567.191162109375,318.392456054688,310.975189208984,324.551116943359,6886261.92089844,512376.03125,1,110,1
153.060036649584,153.059875488281,153.060287475586,318.392456054688,310.975189208984,326.764465332031,7909656.25390625,461749.125,1,111,1
