id,spectrum,eV
3,55.0543:50174.25 56.3309:3695.5793 57.0574:10511.7812 58.0653:8903.6953 59.0492:4580.4951 59.0731:4681.2676 68.0495:6538.5503 69.0528:16794.1035 70.0652:667000.0 71.0624:102579.1484 71.0685:1650723.0 72.0655:7245.0532 72.0719:31641.3906 72.0808:60677.875 91.0547:3819.7244 95.049:7954.2422 96.766:3713.9282 117.0742:9098.1748 173.655:3668.6382 205.7684:4490.8662,40
3,51.9899:8146.0381 55.0542:81224.1562 55.4782:9616.7012 57.0574:14851.9951 58.0653:18120.7461 59.8889:9601.1367 61.2227:10836.5938 68.0494:17068.4414 69.0528:52336.0859 70.0651:2391284.5 71.0624:404874.9062 71.0684:6164123.0 72.0656:24648.3594 72.0718:164054.5625 72.0766:19906.8301 72.0808:105543.4609 74.6447:8236.6279 105.9893:9643.0322 109.5378:8893.1064 109.717:10545.1904 117.0742:32256.6777 137.5834:9548.3203 155.6836:8545.377,40
3,56.2278:121416.8281 68.0494:1624508.5 70.0651:138059792.0 71.0621:325611.6562 71.0684:6629424.5 83.3485:125680.6484 115.4318:128056.6328 116.0704:703304.375 135.4671:122340.7344,40
3,68.0493:703394.625 70.065:62680068.0 71.062:169921.1719 71.0683:3048764.25 76.8371:54660.9023 116.0703:347495.4375 149.2651:49298.9688 166.1178:48239.9922,40
3,53.0381:5004.6143 58.065:6201.4346 59.0489:3593.8545 68.0493:23823.082 69.4555:4152.3623 70.0649:2087006.625 71.0619:6080.7373 71.0682:83479.2891 80.0129:23212.2246 92.7657:3869.7771 116.0702:7938.3115 173.4549:8326.5654,40
3,52.0181:4288.9272 58.0653:5900.4038 69.0446:3955.4768 70.0651:97687.2344 80.013:28436.9434 89.0386:6963.3228 90.0466:5014.1895 101.6758:4317.0698 103.5602:4438.0605 115.0542:9293.2715 117.0573:9057.8564 173.4765:7729.8579,40
3,53.3308:40026.5938 54.5221:36884.1328 68.0492:446275.8125 70.0648:38499624.0 71.0618:111163.5312 71.0682:1843754.375 116.0701:182774.4844 139.4471:36939.3125 188.1552:41557.6602 202.0773:681.0345,40
3,52.0184:8381.0586 52.6357:3420.3391 55.0543:9060.9922 56.0493:4471.0303 58.0653:4193.9639 69.0448:5706.8311 70.0287:4225.3804 70.065:139216.6406 71.0682:4210.7471 73.6727:3664.0894 75.0263:3533.3193 78.4053:3635.2578 80.013:32589.6348 84.686:4057.8303 97.0399:5069.1196 98.0236:5974.564 116.0718:3794.2019 134.0213:3693.9722,40
8,52.0703:25252.8027 52.2566:23254.8887 53.0386:334896.4375 55.0542:5617273.5 56.0495:282789.875 56.0576:257831.4688 56.9375:24800.1191 57.0573:1113171.5 58.0606:40477.5312 59.0491:244920.5938 59.6781:24352.1895 70.0652:58827.7344 71.0684:162779.375 72.0807:9799340.0 73.0778:31347.2109 73.0792:30254.8184 73.0841:432242.1875 84.5118:23508.332,40
8,55.0518:4359.1646 55.0542:63392.8438 57.0574:7269.7036 58.0652:14035.2197 59.073:6735.9189 62.0128:3411.2007 65.0385:20076.5137 70.0651:94289.5312 71.0621:15478.9512 71.0684:222606.2344 72.0715:5681.3267 72.0807:76110.2422 91.0542:40508.5156 91.8703:4266.0581 95.0489:14105.5039 103.9047:4412.6646 114.4755:3705.3335 115.6503:4312.3652 118.0652:4874.6372 118.0854:4064.9736 122.0541:3879.2783 124.7996:3423.7244 124.9161:4335.3232 141.0279:3782.1296 149.7817:3476.6873 187.3195:3640.6138,40
8,55.0542:4412.8521 58.0651:44144.9766 59.0728:6459.1328 63.0136:12418.2373 65.0384:6551.3135 72.0806:14936.2012 89.017:4701.5547 90.0462:9897.917 91.054:73952.5391 95.0491:9782.8857 105.0448:4623.1392 107.4406:3784.0979 117.0574:14478.6865 118.0649:30751.9238 152.9444:4162.0063 180.0767:3598.0227 202.3069:3930.8054 207.8673:4643.0503,40
8,55.0519:4300.4331 55.0543:52178.9844 56.0495:5742.2358 57.0573:8882.0625 58.0652:12523.2188 59.073:7018.4814 65.0387:4486.25 70.0617:5467.9839 70.0651:66051.0547 71.062:9621.3594 71.0685:167765.8438 72.0808:69803.2578 73.3838:3709.8491 85.0564:4078.6965 91.0546:9718.8066 95.0493:9435.1602 119.0605:5632.4243 155.8467:3771.8499,40
8,53.0385:77145.2188 55.0542:1326560.375 56.0469:4429.4941 56.0494:56907.9062 56.0575:60610.0234 57.0573:243149.3594 58.0605:7023.875 58.0652:10638.9053 59.0491:55675.5703 72.0807:2176977.0 73.0777:8319.2295 73.084:97545.5703 91.0539:9311.1104 91.6897:3919.9441 95.0491:8001.3384 96.0808:9751.6396 109.4403:3625.3701 118.0858:4016.4429 126.7979:3523.0112 132.325:3926.0911,40
8,55.0541:4773.835 57.2834:4562.3887 58.0651:20660.7773 59.0729:5574.5269 63.4946:4271.6089 65.0385:5617.7217 71.0608:4199.9102 72.0807:8548.7354 77.0384:4051.7271 89.0388:6059.312 90.0462:13669.4404 91.0541:121573.0156 92.0576:10912.4551 95.049:10892.7188 103.622:3842.2769 110.1076:4878.4331 117.0572:29995.4785 118.065:53772.9531 119.0601:4333.3252 119.0689:4706.8447 132.0996:3884.1875,40
8,55.0542:7008.2793 55.4068:3677.6604 56.0494:4291.2622 58.0651:62710.9414 59.0727:5057.2861 63.0137:18789.3262 65.0386:3909.208 72.0807:25778.0938 74.6285:4532.8389 76.9899:3790.6382 91.0541:10318.6191 95.0491:13261.5732 102.0251:8061.5171 107.2024:3793.2134 110.7869:3543.2583 117.0576:3729.8706 117.3469:4305.3589 118.0865:4324.625 119.0609:4528.3086 143.6517:4221.2285 154.7968:4225.4248,40
8,53.9689:3255.7554 55.0542:45271.8789 56.0492:4673.561 57.0572:7873.0137 58.0651:23005.2129 59.0492:4916.0396 59.0728:4878.9043 61.984:3433.0391 71.7413:3533.385 72.0806:94799.75 83.0872:3798.9968 90.0464:3646.9836 91.054:49084.4297 95.049:11849.999 117.0572:7798.2881 118.0649:16006.1533 119.0602:4863.4766 146.0258:3836.2251 198.6506:3570.8252,40
13,55.0179:39916.7695 57.0335:112314.9531 69.0335:57938.1641 71.0127:50336.5078 73.0284:59950.1758 85.0285:108703.5469 97.0283:43839.0117 115.039:36973.2031 119.0355:49555.3242 136.0618:13558316.0 137.0461:68334.2969 137.065:654584.5 202.0968:296.1625,40
13,55.0181:7815.8057 55.5935:6771.8804 57.0336:22759.5254 58.7941:6003.291 61.0283:9040.1797 65.29:6857.2095 69.0335:17046.3418 71.0126:9038.8721 73.0286:16481.1074 78.4492:6649.0488 81.2648:6795.5112 83.7266:6498.5742 85.0282:27418.0254 85.9786:5752.3057 98.9846:8867.7461 119.0353:11434.208 122.0654:7132.3179 136.0618:3164124.75 136.3503:7752.0469 137.0461:14247.7988 137.0651:139457.3438 153.0175:5715.6602 168.3922:6532.1162 173.4551:11626.0254,40
13,57.0335:37731.8711 69.0335:26355.7832 71.0125:14963.9805 73.0284:32858.0039 80.1176:11175.7988 85.0283:38867.5195 101.6314:10741.4053 112.5357:12819.209 131.0829:11362.4287 136.0618:6462569.5 137.065:316375.875,40
13,55.0179:69246.3672 57.0335:159764.5938 66.8331:54231.5391 69.0334:173451.4844 71.0129:112781.4922 73.0285:167684.2812 85.0283:199669.0781 97.0283:81157.5 115.0393:59232.6719 119.0346:69974.9844 136.0618:28955114.0 137.065:1325300.75 154.0872:55395.8008 173.4752:180641.4688 199.2245:60374.4141 210.3167:47891.4492 212.7771:46657.0039,40
13,55.0177:12039.043 55.0537:3587.0115 57.0334:23140.1055 61.0284:4350.7666 67.6318:3596.4197 69.0334:10655.5254 71.0127:7193.2725 73.0283:10949.1895 85.0282:17435.1172 95.0858:5713.0366 98.9841:16528.7617 108.0439:3746.426 136.0617:1883879.875 137.0649:81895.3906,40
13,57.0335:258376.9375 66.8623:86142.1094 67.7131:88302.2656 68.9301:74495.9688 69.0335:210046.9531 71.0127:133738.875 71.6071:75042.7578 73.0285:217580.3125 81.7068:87061.4531 85.0285:460319.0312 96.8443:99295.0078 97.0285:100198.2891 103.3803:107618.7266 104.5134:88744.2969 119.0348:96618.2656 136.0619:42896528.0 137.0456:210363.8125 137.0652:1914178.0 181.7656:83248.2812,40
13,57.0335:199988.8438 61.0284:82744.3125 69.0338:104450.0938 71.0128:80474.2109 73.0283:156428.3281 73.1976:52006.5352 75.4319:43505.0039 85.0283:221809.4844 85.0336:42580.6523 87.044:74462.3906 95.0729:61149.2148 115.0387:98165.1875 119.0352:53918.7617 136.0618:28558334.0 137.065:1291433.125 143.5497:52314.2539 159.0702:47213.4922,40
13,67.8504:3611.894 69.0701:4629.9761 81.0701:5699.5991 98.9841:18769.0684 98.9905:4479.1465 109.1013:4275.8423 136.0619:127280.4141 144.9092:4212.4185 163.0867:6828.2339 205.0973:7221.376 251.7886:4091.2722,40
13,55.0179:310317.0 55.2879:71467.4219 57.0335:638299.5 59.0492:90853.4141 61.0285:153446.6562 67.0972:69664.3281 69.0335:211053.7031 71.013:155324.7812 73.0284:338894.2188 77.6286:81033.0312 78.0671:71705.1875 85.0285:423838.0312 97.0285:122169.6562 115.0398:90074.4844 119.0354:169350.1562 136.0619:48721332.0 137.0651:2105550.25,40
13,55.0178:4733.0127 57.0334:10060.3545 62.336:3799.8669 69.0334:7952.5142 71.0126:5436.3779 73.0284:9219.3076 76.0692:3687.5015 77.6313:3669.9333 81.0699:5109.0049 85.0283:11801.6191 85.6957:4549.6372 86.0313:4664.7432 95.0853:4623.5933 97.0287:4466.6157 98.9838:10897.9941 136.0617:1327923.875 137.0649:60738.8438 168.3964:3538.9587 205.0974:9363.7852,40
13,55.018:14544.3994 57.0335:54156.6562 61.1008:12646.5801 61.9804:12665.2148 69.0335:46954.5352 71.0129:26922.6035 73.0285:41673.293 84.7259:12447.0615 85.0283:60140.8945 97.0285:32417.1699 105.4982:14235.2441 115.0386:17220.2773 119.0357:22871.1816 136.0619:8224163.5 137.0651:365608.5 165.6161:15069.3555 174.4233:13858.7783 184.4194:13093.2178,40
13,55.018:163849.2656 57.0335:393254.2812 69.0335:342406.3438 71.0126:213490.7031 73.0284:269619.5625 74.5175:95079.4766 85.0283:521597.375 97.0284:104663.2344 112.2123:90929.0078 118.9092:110799.6719 119.0351:148503.8125 125.6809:88729.875 135.8276:91941.0234 136.0619:56523260.0 137.065:2550791.0 156.8093:93955.6641,40
22,65.0385:8385.2549 91.0541:29612.1094 94.0401:9356.9111 95.0604:4452.0049 97.2524:3595.8416 109.0761:4324.7197 119.0351:39446.1836 121.0882:8928.9795 136.0618:55484.1289 136.1121:11173.6338 137.0459:32635.1406 173.4778:7731.4751 189.5712:3673.2058,40
22,51.7009:4409.0254 56.8485:3496.0957 59.0462:6043.6299 59.0491:85571.0078 65.0386:7795.0845 67.0543:4625.8955 74.6682:4030.72 88.0755:5602.4688 91.0542:23955.959 92.0244:5930.4937 93.057:3839.1931 94.0397:5803.7271 94.0655:4311.957 95.0494:5764.5347 95.0601:5987.8726 106.0789:4001.9761 119.0352:36794.7969 121.0887:15516.3555 136.0618:52454.9688 136.1122:16574.9688 137.0457:28909.5332 158.8296:3973.9846,40
22,52.8649:3422.2466 65.0387:11307.1631 67.0291:6352.8755 67.0543:6323.7534 68.0493:4321.7173 76.2746:3621.2322 80.0495:6231.6104 81.0453:3629.2969 88.0759:6065.4551 91.0542:34620.75 92.0242:4778.8232 92.0498:7960.5142 94.04:11609.3311 95.0492:4097.4077 95.0599:6965.6611 105.0703:5162.3433 119.0352:36409.5039 121.0882:11325.4824 136.0618:59252.5625 136.1126:12644.791 137.046:23830.5,40
22,66.0078:3322.4971 67.029:8863.8936 67.0542:5169.5679 73.9396:3871.3875 88.0756:8952.3154 90.6607:4385.1743 91.0542:29592.3926 92.0243:16285.5449 94.0399:39082.9766 95.0606:9819.6924 109.0508:11142.7637 112.0511:5881.8032 119.0353:123660.7266 120.0387:4632.1572 121.0891:5539.3701 136.0618:196374.5156 136.1125:13173.0635 137.0458:94433.0078 137.0653:12296.3809 138.0495:6888.2017 164.0027:3572.4595 190.4328:3777.395 197.8606:3783.3831,40
22,55.0289:6341.4429 56.0494:18809.4902 57.0528:26179.0273 65.0386:7097.2715 67.029:33299.1016 67.0541:4267.9937 68.0494:5398.6182 72.1076:3690.9585 74.06:10410.9092 75.0631:8734.0283 79.6759:3748.1653 80.0495:4905.4502 80.6575:3538.3091 82.04:14035.6025 86.5864:3881.6536 88.0755:5938.3145 91.0541:19894.0918 92.0242:50681.3047 94.0399:105825.7031 94.0463:6873.126 95.0607:6506.1611 107.0603:4506.9155 109.0506:32294.8535 112.0506:20684.875 119.0352:409722.3438 120.0385:22078.1504 121.0884:5089.9375 136.0618:596060.9375 137.0457:302625.8438 137.0652:33737.6523 138.0489:12434.374 149.9506:3995.9189 160.0614:6196.5381 187.7095:3941.2295,40
