id,spectrum,eV
30,57.5352:199544.95 59.9144:108022.96 61.2197:223507.44 66.2132:118521.68 78.1925:125019.91 82.0657:669177.44 105.5642:112855.625 107.0607:237155.58 124.0872:1873271.8 148.087:354496.53 149.0822:447525.6 172.087:212905.77 189.1135:1126436.6 222.7072:127609.55 230.0915:458558.0 230.1402:61119790.0 242.4703:116229.12,30
30,57.5351:12851.383 76.0044:6108.4536 78.6708:6334.6924 82.0657:33261.254 92.7446:7398.486 97.5463:9428.23 107.0609:9766.447 111.1388:6450.587 124.0873:104520.734 133.3379:6271.194 136.1938:6227.2397 148.0869:23601.473 149.0823:23942.674 189.1139:40685.02 213.1158:7561.341 230.0937:19776.518 230.1402:3400865.8,30
30,56.1805:2232.8135 58.066:3079.0503 60.502:5419.901 61.0383:2212.3972 67.1231:2190.0327 70.0004:2432.6958 70.2293:2017.1052 82.3979:2358.552 96.8645:4214.6245 115.2177:2287.282 123.8397:2341.6067 124.0872:5279.992 148.087:7090.26 195.1378:2708.1584 230.1403:211680.17 230.2484:5756.3926,30
30,56.9894:2553.1643 58.066:4994.365 60.504:6133.975 92.6424:2444.7812 96.8624:3134.1323 121.9848:2584.3037 124.0873:5500.0747 148.0871:10804.458 151.8669:2527.2102 189.1141:2632.5542 195.1382:2341.6228 230.1402:281418.4 230.2478:14338.936,30
30,55.6424:2363.2944 60.8922:5717.782 70.6068:2452.7598 73.6328:2432.7136 82.066:7975.926 85.9202:2342.475 102.05:2215.0027 107.0608:3722.8591 123.4882:2653.1912 124.0873:24551.965 133.6364:2097.2004 148.0871:10362.727 149.0827:5943.1426 189.1139:14518.032 199.4031:2821.3826 229.6611:2617.5295 230.1403:840041.75,30
30,51.5171:2377.7544 58.066:5324.494 60.9571:4585.219 65.7791:2299.089 95.462:2046.8452 96.8662:3207.7766 112.8978:2177.1948 124.087:4260.7544 129.066:2014.2104 147.313:2196.3274 148.087:7758.0986 189.1133:4440.3555 230.1402:289077.62 230.2476:14466.692,30
30,58.384:2026.8628 59.362:1953.7416 61.4578:2637.4827 68.0592:2551.242 80.7804:2380.8333 82.066:2948.308 83.1948:2179.7393 85.333:2290.7668 124.0874:8857.682 148.0874:3857.1057 180.2116:2112.1177 189.1134:4362.87 195.102:2607.8281 227.2055:2201.4104 230.1402:318544.62,30
30,50.0989:2043.7168 58.066:3143.5466 59.508:15207.436 63.0289:2228.543 86.2395:2257.0889 96.8632:7644.508 116.5924:2204.053 124.0873:4281.752 148.0871:12086.011 230.1402:211359.23 230.248:8936.28 236.7221:2677.023,30
30,59.7034:5192.9185 59.7065:10839.55 61.5719:2222.0784 69.0133:2335.4512 96.8632:6075.0244 122.3074:2333.323 124.0872:6444.2607 133.994:2694.7834 148.0869:8079.3306 158.581:2075.4023 162.206:2080.0518 189.1144:4350.3374 230.1067:3012.815 230.1403:186147.22 230.2476:8477.239 249.9796:2742.2065,30
31,73.4933:8921.09 75.3896:9699.611 90.9773:1155251.0 106.6638:8614.764 108.5568:8465.914 158.9642:32990.316 165.5031:10481.828 227.1296:16855.143,30
