"AVGMZ","MINMZ","MAXMZ","RT","MINRT","MAXRT","SUMINTENSITY","MAXINTENSITY","MEASUREMENTID","GROUPID","GROUPSETSINDEX"
144.113370261921,144.113159179688,144.113616943359,698.310485839844,693.789123535156,704.84619140625,8712760.50830078,2381575.25,1,30,1
330.203682102565,330.203155517578,330.20458984375,698.310485839844,697.590698242188,703.394775390625,8552333.13476562,2379711.5,1,31,1
217.104886374851,217.104629516602,217.106109619141,698.310485839844,694.724243164062,703.394775390625,8092531.14257812,2272807.75,1,32,1
138.102812581637,138.102600097656,138.103240966797,698.310485839844,692.395751953125,706.017333984375,7657566.50976562,2163683.5,1,33,1
107.06070778199,107.060317993164,107.061111450195,698.310485839844,688.269592285156,710.366333007812,8121491.03173828,2092851.75,1,34,1
130.097672857998,130.097473144531,130.097869873047,698.310485839844,694.108520507812,708.191101074219,9480047.09814453,2077290.5,1,35,1
119.126268020196,119.126106262207,119.126579284668,698.310485839844,687.648986816406,711.173461914062,7537936.91699219,2046486.75,1,36,1
111.092149430018,111.091979980469,111.092292785645,698.310485839844,692.395751953125,706.017333984375,7714843.13085938,2044468.625,1,37,1
162.112590973952,162.112426757812,162.112747192383,698.310485839844,697.963623046875,708.191101074219,9578863.1796875,2018777,1,38,1
319.167004316674,319.166381835938,319.167541503906,698.310485839844,694.724243164062,703.032470703125,6998950.80078125,1749977.25,1,39,1
313.1772707989,313.177032470703,313.178588867188,698.310485839844,694.350341796875,706.379760742188,8403192.36328125,1742384.375,1,40,1
103.131645561772,103.131469726562,103.131813049316,698.310485839844,691.452941894531,707.104248046875,5379811.28125,1726848.75,1,41,1
225.134936111845,225.134719848633,225.135101318359,698.310485839844,697.590698242188,703.757446289062,9847527.6796875,1702713.125,1,42,1
100.112685320522,100.112518310547,100.112823486328,698.310485839844,690.501953125,708.916625976562,8513475.734375,1661066.375,1,43,1
178.143842453264,178.143249511719,178.144195556641,698.310485839844,697.590698242188,708.916625976562,5950067.99365234,1625717.625,1,44,1
163.098009331309,163.097640991211,163.098403930664,698.310485839844,688.269592285156,711.173461914062,8374827.3359375,1528579.75,1,45,1
127.086925864742,127.08666229248,127.087287902832,698.310485839844,691.131591796875,709.276733398438,7575549.95605469,1513906.75,1,46,1
102.074841273094,102.07470703125,102.07495880127,698.310485839844,694.350341796875,703.394775390625,8782004.8515625,1509765.25,1,47,1
261.131337849685,261.130462646484,261.132507324219,698.310485839844,694.724243164062,703.032470703125,4122057.28076172,1458705,1,48,1
244.15607668763,244.154495239258,244.156753540039,698.310485839844,690.826110839844,706.379760742188,6821047.58349609,1453163.125,1,49,1
109.076523273323,109.076393127441,109.076812744141,698.310485839844,690.501953125,708.916625976562,6428774.54003906,1432918.625,1,50,1
357.147387001186,357.146606445312,357.148315429688,698.310485839844,694.350341796875,699.351257324219,3918880.71679688,1314929.75,1,51,1
134.117646926076,134.117492675781,134.117889404297,698.310485839844,697.590698242188,709.639526367188,5798998.26513672,1233511.375,1,52,1
